Altium Designer Pick and Place Locations
E:\Magazyn_TachBook\My Work\INNE\ALMAZNY\Project Outputs for Almazny\Pick Place\Pick Place for Almazny.txt

========================================================================================================================
File Design Information:

Date:       07.06.21
Time:       16:21
Revision:   f5d4c7ef3fc9ef8866905c88236f91987ea7230a
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                
L7         4.7uH                TopLayer    IND_WURTH_WE-SPC-4838         3360.000      624.099       270      "Inductor With Core"                                                       
R62        100                  BottomLayer RESC1005X40N                  3010.000      404.000       360      "Resistor - 1%"                                                            
R61        100                  TopLayer    RESC1005X40N                  3730.791      1139.667      270      "Resistor - 1%"                                                            
R60        100                  BottomLayer RESC1005X40N                  3633.000      785.213       90       "Resistor - 1%"                                                            
R59        100                  BottomLayer RESC1005X40N                  2080.166      434.306       360      "Resistor - 1%"                                                            
R58D       10k                  BottomLayer RESC1005X40N                  2640.538      1041.737      90       "Resistor - 1%"                                                            
R58C       10k                  BottomLayer RESC1005X40N                  2646.278      1841.341      90       "Resistor - 1%"                                                            
R58B       10k                  BottomLayer RESC1005X40N                  2658.225      2567.681      90       "Resistor - 1%"                                                            
R58A       10k                  BottomLayer RESC1005X40N                  2641.732      3291.339      90       "Resistor - 1%"                                                            
J100       "Socket 26"          BottomLayer 3M_9126-4500PL                3958.464      918.543       90       "Connector 26 Female"                                                      
IC9        LT3045EDD#PBF        TopLayer    SON50P300X300X80-11N-R175X248 3482.480      1339.055      90       "20V, 500mA, Ultralow Noise, Ultrahigh PSRR Linear Regulator"              
B6         "3.3mm hole pad 6mm" TopLayer    MTG330_600                    2299.213      3645.669      0        "3.3mm hole pad 6mm"                                                       
B5         "3.3mm hole pad 6mm" TopLayer    MTG330_600                    1118.110      3645.669      0        "3.3mm hole pad 6mm"                                                       
B4         "2.7mm hole pad 5mm" TopLayer    MTG270_500                    140.000       3717.008      0        "2.7mm hole pad 5mm"                                                       
B3         "2.7mm hole pad 5mm" TopLayer    MTG270_500                    140.000       217.008       0        "2.7mm hole pad 5mm"                                                       
B2         "3.3mm hole pad 6mm" TopLayer    MTG330_600                    2299.213      299.213       0        "3.3mm hole pad 6mm"                                                       
B1         "3.3mm hole pad 6mm" TopLayer    MTG330_600                    1118.110      299.213       0        "3.3mm hole pad 6mm"                                                       
R57        1M                   TopLayer    RESC1608X55N                  2514.000      3583.000      360      "Resistor - 1%"                                                            
R56        1M                   TopLayer    RESC1608X55N                  1333.520      3583.000      360      "Resistor - 1%"                                                            
R55        1M                   TopLayer    RESC1608X55N                  351.000       3666.000      360      "Resistor - 1%"                                                            
R54        1M                   TopLayer    RESC1608X55N                  351.504       236.000       360      "Resistor - 1%"                                                            
R53        1M                   TopLayer    RESC1608X55N                  2384.142      499.236       90       "Resistor - 1%"                                                            
R52        1M                   TopLayer    RESC1608X55N                  913.528       253.236       180      "Resistor - 1%"                                                            
L1D        6.8nH                TopLayer    INDC2014X145N                 1165.714      584.367       180      "Inductor With Core"                                                       
L1C        6.8nH                TopLayer    INDC2014X145N                 1166.504      1346.992      180      "Inductor With Core"                                                       
L1B        6.8nH                TopLayer    INDC2014X145N                 1166.116      2072.446      180      "Inductor With Core"                                                       
L1A        6.8nH                TopLayer    INDC2014X145N                 1165.220      2796.953      180      "Inductor With Core"                                                       
C52        1uF                  TopLayer    CAPC3216X140N                 2546.480      3668.000      0        "Non-polarised capacitor"                                                  
C51        1uF                  TopLayer    CAPC3216X140N                 1366.000      3668.000      0        "Non-polarised capacitor"                                                  
C14        1uF                  TopLayer    CAPC3216X140N                 384.000       3752.000      0        "Non-polarised capacitor"                                                  
C11        1uF                  TopLayer    CAPC3216X140N                 383.984       151.000       0        "Non-polarised capacitor"                                                  
C10        1uF                  TopLayer    CAPC3216X140N                 2469.809      531.716       90       "Non-polarised capacitor"                                                  
C9         1uF                  TopLayer    CAPC3216X140N                 881.047       338.903       180      "Non-polarised capacitor"                                                  
T3D        BC857BV              BottomLayer SOTFL50P160X60-6N             2215.942      1051.170      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T3C        BC857BV              BottomLayer SOTFL50P160X60-6N             2216.732      1813.795      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T3B        BC857BV              BottomLayer SOTFL50P160X60-6N             2216.344      2539.249      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T3A        BC857BV              BottomLayer SOTFL50P160X60-6N             2215.449      3263.756      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T2D        BC857BV              BottomLayer SOTFL50P160X60-6N             2216.260      641.927       0        "45V, 100mA PNP General Purpose Double Transistor"                         
T2C        BC857BV              BottomLayer SOTFL50P160X60-6N             2217.050      1404.552      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T2B        BC857BV              BottomLayer SOTFL50P160X60-6N             2216.661      2130.005      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T2A        BC857BV              BottomLayer SOTFL50P160X60-6N             2215.766      2854.512      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T1D        BC857BV              BottomLayer SOTFL50P160X60-6N             1722.842      1014.024      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T1C        BC857BV              BottomLayer SOTFL50P160X60-6N             1723.632      1776.649      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T1B        BC857BV              BottomLayer SOTFL50P160X60-6N             1723.244      2502.103      0        "45V, 100mA PNP General Purpose Double Transistor"                         
T1A        BC857BV              BottomLayer SOTFL50P160X60-6N             1722.349      3226.610      0        "45V, 100mA PNP General Purpose Double Transistor"                         
R51        49k9                 TopLayer    RESC1608X55N                  3557.087      1550.000      180      "Resistor - 0.1%"                                                          
R50        2k2                  TopLayer    RESC1005X40N                  3596.583      1273.000      180      "Resistor - 1%"                                                            
R49        10k                  TopLayer    RESC1005X40N                  3546.000      1220.000      180      "Resistor - 1%"                                                            
R48        10k                  TopLayer    RESC1005X40N                  3597.110      1407.000      360      "Resistor - 1%"                                                            
R47        2k2                  TopLayer    RESC1005X40N                  3578.606      1339.055      90       "Resistor - 1%"                                                            
R46D       10k                  BottomLayer RESC1005X40N                  2341.052      1068.233      0        "Resistor - 1%"                                                            
R46C       10k                  BottomLayer RESC1005X40N                  2343.811      1832.827      0        "Resistor - 1%"                                                            
R46B       10k                  BottomLayer RESC1005X40N                  2343.423      2558.280      0        "Resistor - 1%"                                                            
R46A       10k                  BottomLayer RESC1005X40N                  2342.527      3282.787      0        "Resistor - 1%"                                                            
R45D       10k                  BottomLayer RESC1005X40N                  2341.370      657.675       0        "Resistor - 1%"                                                            
R45C       10k                  BottomLayer RESC1005X40N                  2344.128      1422.268      0        "Resistor - 1%"                                                            
R45B       10k                  BottomLayer RESC1005X40N                  2343.740      2147.722      0        "Resistor - 1%"                                                            
R45A       10k                  BottomLayer RESC1005X40N                  2342.845      2872.229      0        "Resistor - 1%"                                                            
R44D       10k                  BottomLayer RESC1005X40N                  1859.252      1008.858      270      "Resistor - 1%"                                                            
R44C       10k                  BottomLayer RESC1005X40N                  1862.010      1773.452      270      "Resistor - 1%"                                                            
R44B       10k                  BottomLayer RESC1005X40N                  1861.622      2498.905      270      "Resistor - 1%"                                                            
R44A       10k                  BottomLayer RESC1005X40N                  1860.727      3223.412      270      "Resistor - 1%"                                                            
R43D       10k                  BottomLayer RESC1005X40N                  2156.052      963.233       0        "Resistor - 1%"                                                            
R43C       10k                  BottomLayer RESC1005X40N                  2158.811      1727.827      0        "Resistor - 1%"                                                            
R43B       10k                  BottomLayer RESC1005X40N                  2158.423      2453.280      0        "Resistor - 1%"                                                            
R43A       10k                  BottomLayer RESC1005X40N                  2157.527      3177.787      0        "Resistor - 1%"                                                            
R42D       10k                  BottomLayer RESC1005X40N                  2158.370      554.486       0        "Resistor - 1%"                                                            
R42C       10k                  BottomLayer RESC1005X40N                  2161.128      1319.079      0        "Resistor - 1%"                                                            
R42B       10k                  BottomLayer RESC1005X40N                  2160.740      2044.533      0        "Resistor - 1%"                                                            
R42A       10k                  BottomLayer RESC1005X40N                  2159.845      2769.040      0        "Resistor - 1%"                                                            
R41D       10k                  BottomLayer RESC1005X40N                  1662.011      927.528       0        "Resistor - 1%"                                                            
R41C       10k                  BottomLayer RESC1005X40N                  1664.770      1692.122      0        "Resistor - 1%"                                                            
R41B       10k                  BottomLayer RESC1005X40N                  1664.381      2417.575      0        "Resistor - 1%"                                                            
R41A       10k                  BottomLayer RESC1005X40N                  1663.486      3142.083      0        "Resistor - 1%"                                                            
R40        10k                  TopLayer    RESC1005X40N                  4173.688      1007.826      90       "Resistor - 1%"                                                            
R39B       10k                  TopLayer    RESC1005X40N                  2889.764      484.252       270      "Resistor - 1%"                                                            
R39A       10k                  TopLayer    RESC1005X40N                  1829.449      507.722       270      "Resistor - 1%"                                                            
R38B       10k                  TopLayer    RESC1005X40N                  3043.307      378.937       90       "Resistor - 1%"                                                            
R38A       10k                  TopLayer    RESC1005X40N                  1922.024      379.386       90       "Resistor - 1%"                                                            
R37B       10k                  TopLayer    RESC1005X40N                  3065.765      457.411       90       "Resistor - 1%"                                                            
R37A       10k                  TopLayer    RESC1005X40N                  1901.354      458.163       90       "Resistor - 1%"                                                            
R36B       2k2                  TopLayer    RESC1005X40N                  3126.788      439.657       180      "Resistor - 1%"                                                            
R36A       2k2                  TopLayer    RESC1005X40N                  1962.378      440.409       180      "Resistor - 1%"                                                            
R35        49k9                 TopLayer    RESC1608X55N                  2734.677      514.812       360      "Resistor - 0.1%"                                                          
R34        20k                  BottomLayer RESC1608X55N                  3688.655      563.233       270      "Resistor - 0.1%"                                                          
R33        121k                 BottomLayer RESC1608X55N                  3688.655      689.218       270      "Resistor - 0.1%"                                                          
R32        24k9                 TopLayer    RESC1608X55N                  1611.220      521.654       360      "Resistor - 0.1%"                                                          
R31D       5k1                  BottomLayer RESC1005X40N                  2043.070      1084.274      0        "Resistor - 1%"                                                            
R31C       5k1                  BottomLayer RESC1005X40N                  2045.829      1848.867      0        "Resistor - 1%"                                                            
R31B       5k1                  BottomLayer RESC1005X40N                  2045.440      2574.321      0        "Resistor - 1%"                                                            
R31A       5k1                  BottomLayer RESC1005X40N                  2044.546      3298.828      0        "Resistor - 1%"                                                            
R30D       5k1                  BottomLayer RESC1005X40N                  2052.370      613.486       90       "Resistor - 1%"                                                            
R30C       5k1                  BottomLayer RESC1005X40N                  2055.128      1378.079      90       "Resistor - 1%"                                                            
R30B       5k1                  BottomLayer RESC1005X40N                  2054.740      2103.533      90       "Resistor - 1%"                                                            
R30A       5k1                  BottomLayer RESC1005X40N                  2053.845      2828.040      90       "Resistor - 1%"                                                            
R29D       5k1                  BottomLayer RESC1005X40N                  1540.981      1046.284      0        "Resistor - 1%"                                                            
R29C       5k1                  BottomLayer RESC1005X40N                  1543.740      1810.878      0        "Resistor - 1%"                                                            
R29B       5k1                  BottomLayer RESC1005X40N                  1543.351      2536.332      0        "Resistor - 1%"                                                            
R29A       5k1                  BottomLayer RESC1005X40N                  1542.457      3260.839      0        "Resistor - 1%"                                                            
R28D       100                  BottomLayer RESC1005X40N                  2094.052      1023.233      270      "Resistor - 1%"                                                            
R28C       100                  BottomLayer RESC1005X40N                  2096.811      1787.827      270      "Resistor - 1%"                                                            
R28B       100                  BottomLayer RESC1005X40N                  2096.423      2513.280      270      "Resistor - 1%"                                                            
R28A       100                  BottomLayer RESC1005X40N                  2095.527      3237.787      270      "Resistor - 1%"                                                            
R27D       100                  BottomLayer RESC1005X40N                  2095.370      613.486       270      "Resistor - 1%"                                                            
R27C       100                  BottomLayer RESC1005X40N                  2098.128      1378.079      270      "Resistor - 1%"                                                            
R27B       100                  BottomLayer RESC1005X40N                  2097.740      2103.533      270      "Resistor - 1%"                                                            
R27A       100                  BottomLayer RESC1005X40N                  2096.845      2828.040      270      "Resistor - 1%"                                                            
